Country,Status,Year,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling,BMI_Category,Region
Afghanistan,Developing,2005.0,57.3,291.0,85.0,0.019999999999999574,1.3886477319999813,66.0,1296.0,14.2,118.0,58.0,8.7,58.0,0.10000000000000009,25.29412990000037,257798.0,19.3,19.5,0.396,7.9,Underweight,Asia
Afghanistan,Developing,2004.0,57.0,293.0,87.0,0.019999999999999574,15.296066429999996,67.0,466.0,13.8,120.0,5.0,8.79,5.0,0.10000000000000009,219.1413528000012,24118979.0,19.5,19.7,0.381,6.8,Underweight,Asia
Afghanistan,Developing,2003.0,56.7,295.0,87.0,0.009999999999999787,11.089052730000049,65.0,798.0,13.399999999999999,122.0,41.0,8.82,41.0,0.10000000000000009,198.7285436000002,2364851.0,19.7,19.9,0.373,6.5,Underweight,Asia
Afghanistan,Developing,2002.0,56.2,3.0,88.0,0.009999999999999787,16.88735091000001,64.0,2486.0,13.0,122.0,36.0,7.76,36.0,0.10000000000000009,187.845949999999,21979923.0,19.9,2.2,0.341,6.2,Underweight,Asia
Afghanistan,Developing,2001.0,55.3,316.0,88.0,0.009999999999999787,10.574728199999981,63.0,8762.000000000002,12.600000000000001,122.0,35.00000000000001,7.8,33.00000000000001,0.10000000000000009,117.49697999999898,2966463.0,2.1,2.4,0.34,5.9,Underweight,Asia
Afghanistan,Developing,2000.0,54.8,321.0,88.0,0.009999999999999787,10.424960000000056,62.0,6532.0,12.2,122.0,24.0,8.2,24.0,0.10000000000000009,114.55999999999949,293756.0,2.3,2.5,0.338,5.5,Underweight,Asia
Albania,Developing,2015.0,77.8,74.0,0.0,4.6,364.9752287,99.0,0.0,58.0,0.0,99.0,6.0,99.0,0.10000000000000009,3954.22783,28873.0,1.2000000000000002,1.2999999999999998,0.762,14.2,Severe obesity,Europe
Albania,Developing,2014.0,77.5,8.0,0.0,4.51,428.7490668,98.0,0.0,57.2,0.9999999999999929,98.0,5.88,98.0,0.10000000000000009,4575.763787,288914.0,1.2000000000000002,1.2999999999999998,0.761,14.2,Severe obesity,Europe
Albania,Developing,2013.0,77.2,84.0,0.0,4.76,430.8769785,99.0,0.0,56.5,0.9999999999999929,99.0,5.66,99.0,0.10000000000000009,4414.72314,289592.0,1.2999999999999998,1.4,0.759,14.2,Severe obesity,Europe
Albania,Developing,2012.0,76.9,86.0,0.0,5.14,412.4433563,99.0,9.0,55.8,0.9999999999999929,99.0,5.59,99.0,0.10000000000000009,4247.61438,2941.0,1.2999999999999998,1.4,0.752,14.2,Severe obesity,Europe
Albania,Developing,2011.0,76.6,88.0,0.0,5.37,437.0621,99.0,28.0,55.1,0.9999999999999929,99.0,5.71,99.0,0.10000000000000009,4437.17868,295195.0,1.4,1.5,0.738,13.3,Severe obesity,Europe
Albania,Developing,2010.0,76.2,91.0,1.0,5.28,41.82275718999995,99.0,10.0,54.3,0.9999999999999929,99.0,5.34,99.0,0.10000000000000009,494.3588319999999,291321.0,1.4,1.5,0.725,12.5,Severe obesity,Europe
Albania,Developing,2009.0,76.1,91.0,1.0,5.79,348.0559517,98.0,0.0,53.5,0.9999999999999929,98.0,5.79,98.0,0.10000000000000009,4114.136545,2927519.0,1.5,1.6,0.721,12.2,Severe obesity,Europe
Albania,Developing,2008.0,75.3,1.0,1.0,5.61,36.62206845000003,99.0,0.0,52.6,0.9999999999999929,99.0,5.87,99.0,0.10000000000000009,437.5396469999996,2947314.0,1.6,1.6,0.713,12.0,Severe obesity,Europe
Albania,Developing,2007.0,75.9,9.0,1.0,5.58,32.246552279999946,98.0,22.0,51.7,0.9999999999999929,99.0,6.1,98.0,0.10000000000000009,363.13684999999987,29717.0,1.6,1.7000000000000002,0.703,11.6,Severe obesity,Europe
Albania,Developing,2006.0,74.2,99.0,1.0,5.31,3.302154200000018,98.0,68.0,5.799999999999997,0.9999999999999929,97.0,5.86,97.0,0.10000000000000009,35.1292999999996,2992547.0,1.7000000000000002,1.8000000000000003,0.696,11.4,Underweight,Europe
Albania,Developing,2005.0,73.5,15.0,1.0,5.16,26.993121429999974,98.0,6.0,49.9,0.9999999999999929,97.0,6.12,98.0,0.10000000000000009,279.1429310000012,311487.0,1.7999999999999998,1.8000000000000003,0.685,10.8,Severe obesity,Europe
Albania,Developing,2004.0,73.0,17.0,1.0,4.54,221.8428,99.0,7.0,48.9,0.9999999999999929,98.0,6.38,97.0,0.10000000000000009,2416.588235,326939.0,1.7999999999999998,1.9,0.681,10.9,Severe obesity,Europe
Albania,Developing,2003.0,72.8,18.0,1.0,4.29,14.719288819999974,97.0,8.0,47.9,0.9999999999999929,97.0,6.27,97.0,0.10000000000000009,189.6815570000008,339616.0,1.8999999999999995,2.0,0.674,10.7,Severe obesity,Europe
Albania,Developing,2002.0,73.3,15.0,1.0,3.73,104.51691570000003,96.0,16.0,46.9,0.9999999999999929,98.0,6.3,98.0,0.10000000000000009,1453.642777,3511.0,2.0,2.1,0.67,10.7,Severe obesity,Europe
Albania,Developing,2001.0,73.6,14.0,1.0,4.25,96.20557078000002,96.0,18.0,46.0,0.9999999999999929,97.0,6.0,97.0,0.10000000000000009,1326.97339,36173.0,2.1,2.1,0.662,10.6,Severe obesity,Europe
Albania,Developing,2000.0,72.6,11.0,1.0,3.66,91.71154051999997,96.0,662.0,45.0,0.9999999999999929,97.0,6.26,97.0,0.10000000000000009,1175.7889809999997,38927.0,2.1,2.2,0.656,10.7,Severe obesity,Europe
Algeria,Developing,2015.0,75.6,19.0,21.0,0.7760000000000002,0.0,95.0,63.0,59.5,24.0,95.0,5.966,95.0,0.10000000000000009,4132.76292,39871528.0,6.0,5.8,0.743,14.4,Severe obesity,Africa
Algeria,Developing,2014.0,75.4,11.0,21.0,0.009999999999999787,54.23731829999997,95.0,0.0,58.4,24.0,95.0,7.21,95.0,0.10000000000000009,547.8517000000002,39113313.0,6.0,5.8,0.741,14.4,Severe obesity,Africa
Algeria,Developing,2013.0,75.3,112.0,21.0,0.5300000000000002,544.4507432,95.0,25.0,57.2,24.0,95.0,7.12,95.0,0.10000000000000009,5471.866766,38338562.0,5.9,5.8,0.737,14.4,Severe obesity,Africa
Algeria,Developing,2012.0,75.1,113.0,21.0,0.6600000000000001,555.9260834,95.0,18.0,56.1,24.0,95.0,6.14,95.0,0.10000000000000009,5564.82566,37565847.0,5.9,5.8,0.732,14.4,Severe obesity,Africa
Algeria,Developing,2011.0,74.9,116.0,21.0,0.5599999999999996,509.0020405,95.0,112.0,55.0,24.0,95.0,5.29,95.0,0.10000000000000009,5432.2523,36819558.0,5.9,5.8,0.724,14.0,Severe obesity,Africa
Algeria,Developing,2010.0,74.7,119.0,21.0,0.4500000000000002,430.7175861,95.0,103.0,53.9,24.0,95.0,5.12,95.0,0.10000000000000009,4463.394675,36117637.0,5.9,5.8,0.714,13.6,Severe obesity,Africa
Algeria,Developing,2009.0,74.4,123.0,20.0,0.5,352.0636419,94.0,107.0,52.8,23.0,94.0,5.36,95.0,0.10000000000000009,3868.83123,3546576.0,6.0,5.9,0.705,13.1,Severe obesity,Africa
Algeria,Developing,2008.0,74.1,126.0,20.0,0.45999999999999996,43.08717334000005,91.0,217.0,51.8,23.0,92.0,4.2,93.0,0.10000000000000009,495.2548660000002,3486715.0,6.0,5.9,0.697,12.6,Severe obesity,Africa
Algeria,Developing,2007.0,73.8,129.0,20.0,0.4400000000000004,320.3239241,9.0,0.0,5.799999999999997,23.0,95.0,3.82,95.0,0.10000000000000009,3935.183343,34376.0,6.0,5.9,0.69,12.3,Underweight,Africa
Algeria,Developing,2006.0,73.4,132.0,20.0,0.3600000000000003,270.2401962,8.0,944.0000000000002,49.8,23.0,95.0,3.3599999999999994,95.0,0.10000000000000009,3464.6179,33777915.0,6.1,6.0,0.686,12.3,Severe obesity,Africa
Algeria,Developing,2005.0,72.9,136.0,19.0,0.5,2.5489227580000033,83.0,2302.0,48.9,22.0,88.0,3.24,88.0,0.10000000000000009,31.122377999999117,33288437.0,6.1,6.0,0.68,12.0,Severe obesity,Africa
Algeria,Developing,2004.0,72.3,14.0,19.0,0.4500000000000002,220.39369899999997,81.0,3289.0,47.9,23.0,86.0,3.54,86.0,0.10000000000000009,2598.9822999999997,3283196.0,6.2,6.1,0.673,11.7,Severe obesity,Africa
Algeria,Developing,2003.0,71.7,146.0,20.0,0.33999999999999986,25.018522599999983,65.4,15373.999999999998,47.0,23.0,87.0,3.6,87.0,0.10000000000000009,294.33555999999953,3243514.0,6.3,6.1,0.663,11.5,Severe obesity,Africa
Algeria,Developing,2002.0,71.6,145.0,20.0,0.3600000000000003,148.5119843,52.4,5862.0,46.1,23.0,86.0,3.73,86.0,0.10000000000000009,1774.33673,3199546.0,6.3,6.2,0.653,11.1,Severe obesity,Africa
Algeria,Developing,2001.0,71.4,145.0,20.0,0.23000000000000043,147.98607140000001,55.0,2686.0,45.3,24.0,89.0,3.84,89.0,0.10000000000000009,1732.8579790000003,31592153.0,6.4,6.3,0.644,10.9,Severe obesity,Africa
Algeria,Developing,2000.0,71.3,145.0,21.0,0.25,154.45594360000007,51.599999999999994,0.0,44.4,25.0,86.0,3.49,86.0,0.10000000000000009,1757.1779699999997,3118366.0,6.5,6.4,0.636,10.7,Severe obesity,Africa
Angola,Developing,2015.0,52.4,335.0,66.0,1.9919999999999995,0.0,64.0,118.0,23.3,98.0,7.0,5.11,64.0,1.9,3695.7937479999996,2785935.0,8.3,8.2,0.531,11.4,Healthy range,Africa
Angola,Developing,2014.0,51.7,348.0,67.0,8.33,23.965611999999965,64.0,11699.0,22.7,101.0,68.0,3.3099999999999996,64.0,2.0,479.3122400000002,2692466.0,8.5,8.3,0.527,11.4,Healthy range,Africa
Angola,Developing,2013.0,51.1,355.0,69.0,8.1,35.95857278999995,77.0,8523.0,22.1,105.0,67.0,4.26,77.0,2.3,484.616884,2599834.0,8.6,8.5,0.523,11.4,Healthy range,Africa
Angola,Developing,2012.0,56.0,358.0,72.0,8.24,256.1225243,75.0,4458.0,21.5,110.0,75.0,3.3,75.0,2.6,4598.249988,259615.0,8.8,8.6,0.508,10.3,Healthy range,Africa
Angola,Developing,2011.0,51.0,361.0,75.0,8.06,239.8913920999999,72.0,1449.0,21.0,115.0,73.0,3.38,71.0,2.5,4299.12889,24218565.0,8.9,8.8,0.495,9.4,Healthy range,Africa
Angola,Developing,2010.0,49.6,365.0,78.0,7.8,191.65374069999996,77.0,1190.0,2.3999999999999986,121.0,81.0,3.39,77.0,2.5,3529.53482,23369131.0,9.1,9.0,0.488,9.0,Underweight,Africa
Angola,Developing,2009.0,49.10000000000001,369.0,81.0,7.01,212.9229325,61.0,2807.0,19.8,127.0,63.0,4.37,6.0,2.5,3347.8448499999995,22549547.0,9.3,9.2,0.48,8.5,Healthy range,Africa
Angola,Developing,2008.0,48.7,371.0,84.0,7.07,249.9101958,69.0,265.0,19.3,133.0,65.0,3.84,69.0,2.6,3868.578883,2175942.0,9.5,9.4,0.468,8.1,Healthy range,Africa
Angola,Developing,2007.0,48.2,375.0,87.0,6.35,184.82134459999997,73.0,1014.0,18.8,138.0,75.0,3.38,73.0,2.6,2878.837144,2997687.0,9.6,9.6,0.454,7.7,Healthy range,Africa
Angola,Developing,2006.0,47.7,381.0,90.0,5.84,25.086888240000007,51.199999999999996,764.9999999999998,18.2,143.0,36.0,4.54,34.00000000000001,2.5,262.4151490000013,2262399.0,9.8,9.7,0.439,7.2,Underweight,Africa
Angola,Developing,2005.0,47.4,382.0,92.0,5.04,98.19145117000005,51.2,258.0,17.699999999999996,148.0,39.0,4.1,38.0,2.6,1443.9919289999998,19552542.0,1.0,9.899999999999999,0.426,6.8,Underweight,Africa
Angola,Developing,2004.0,47.1,386.0,94.0,3.53,8.866777500000012,56.199999999999996,29.0,17.2,152.0,4.0,4.71,4.0,2.5,141.8684400000002,18865716.0,1.2000000000000002,1.1,0.415,6.4,Underweight,Africa
Angola,Developing,2003.0,46.8,388.0,95.0,3.49,35.93349120999994,52.8,1196.0,16.8,155.0,4.0,4.41,4.0,2.4,779.4683560000003,1823369.0,1.4,1.2999999999999998,0.406,5.9,Underweight,Africa
Angola,Developing,2002.0,46.5,391.0,96.0,2.82,24.037942000000044,66.8,11945.0,16.3,157.0,37.0,3.63,41.0,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5,Underweight,Africa
Angola,Developing,2001.0,45.7,44.0,97.0,2.58,30.35993646999998,46.8,9046.0,15.8,159.0,41.0,5.38,38.0,2.1,526.1687430000002,16983266.0,1.7000000000000002,1.7000000000000002,0.391,5.1000000000000005,Underweight,Africa
Angola,Developing,2000.0,45.3,48.0,97.0,1.85,15.881492539999954,51.0,2219.0,15.399999999999999,160.0,3.0,2.79,28.0,2.0,555.2969419000001,1644924.0,1.8999999999999995,1.9,0.382,4.6,Underweight,Africa
Antigua and Barbuda,Developing,2015.0,76.4,13.0,0.0,3.946,0.0,99.0,0.0,47.7,0.0,86.0,6.94,99.0,0.19999999999999996,13566.9541,981544.7999999989,3.3,3.3,0.784,13.9,Severe obesity,Americas
Antigua and Barbuda,Developing,2014.0,76.2,131.0,0.0,8.56,2422.999774,99.0,0.0,47.0,0.0,96.0,5.54,99.0,0.19999999999999996,12888.29667,4990496.0,3.3,3.3,0.782,13.9,Severe obesity,Americas
Antigua and Barbuda,Developing,2013.0,76.1,133.0,0.0,8.58,1991.4303720000003,99.0,0.0,46.4,0.0,98.0,5.33,99.0,0.19999999999999996,12224.86416,4990496.0,3.3,3.3,0.781,13.9,Severe obesity,Americas
Antigua and Barbuda,Developing,2012.0,75.9,134.0,0.0,8.18,2156.229842,98.0,0.0,45.7,0.0,97.0,5.39,98.0,0.19999999999999996,12565.44197,4990496.0,3.3,3.3,0.778,13.8,Severe obesity,Americas
Antigua and Barbuda,Developing,2011.0,75.7,136.0,0.0,7.84,1810.875316,99.0,0.0,45.1,0.0,99.0,5.65,99.0,0.10000000000000009,11929.34991,5337706.199999999,3.3,3.3,0.782,14.1,Severe obesity,Americas
Antigua and Barbuda,Developing,2010.0,75.6,138.0,0.0,7.84,1983.956937,98.0,0.0,44.4,0.0,99.0,5.63,98.0,0.10000000000000009,12126.87614,5909135.600000001,3.3,3.3,0.783,14.1,Severe obesity,Americas
Antigua and Barbuda,Developing,2009.0,75.4,14.0,0.0,7.82,149.35873549999997,98.0,0.0,43.8,0.0,98.0,4.86,99.0,0.10000000000000009,1312.4669199999998,1003088.7999999989,3.4,3.3,0.788,14.2,Severe obesity,Americas
Antigua and Barbuda,Developing,2008.0,75.2,142.0,0.0,8.27,180.7762695,98.0,0.0,43.2,0.0,99.0,4.69,99.0,0.10000000000000009,1473.31923,1487171.4000000004,3.4,3.3,0.786,14.4,Severe obesity,Americas
Antigua and Barbuda,Developing,2007.0,75.0,144.0,0.0,8.64,257.9665308,97.0,0.0,42.6,0.0,98.0,4.27,99.0,0.10000000000000009,14252.29452,5272084.6,3.4,3.3,0.781,14.5,Severe obesity,Americas
Antigua and Barbuda,Developing,2006.0,74.8,145.0,0.0,8.93,216.3146941,99.0,0.0,42.0,0.0,99.0,4.34,99.0,0.10000000000000009,12724.39377,12906822.4,3.4,3.4,0.773,14.7,Severe obesity,Americas
Antigua and Barbuda,Developing,2005.0,74.6,147.0,0.0,8.15,1455.608186,99.0,0.0,41.4,0.0,98.0,4.41,99.0,0.10000000000000009,11371.93895,1116279.3999999985,3.5,3.4,0.0,0.0,Severe obesity,Americas
Antigua and Barbuda,Developing,2004.0,74.4,149.0,0.0,7.28,22.862952059999998,97.0,0.0,4.799999999999997,0.0,97.0,4.21,97.0,0.10000000000000009,1352.8374000000003,1780605.2000000011,3.5,3.4,0.0,0.0,Underweight,Americas
Antigua and Barbuda,Developing,2003.0,74.2,151.0,0.0,7.16,1158.065259,99.0,0.0,4.100000000000001,0.0,99.0,4.53,99.0,0.10000000000000009,9739.82556,1773964.8000000007,3.5,3.5,0.0,0.0,Underweight,Americas
Antigua and Barbuda,Developing,2002.0,74.0,153.0,0.0,7.21,927.4075855,99.0,0.0,39.5,0.0,93.0,4.41,98.0,0.10000000000000009,9386.716452,1007303.7999999989,3.6,3.5,0.0,0.0,Obesity,Americas
Antigua and Barbuda,Developing,2001.0,73.8,154.0,0.0,7.51,163.76769780000006,96.0,0.0,38.9,0.0,99.0,4.48,97.0,0.10000000000000009,9358.154162,1007303.7999999989,3.6,3.5,0.0,0.0,Obesity,Americas
Antigua and Barbuda,Developing,2000.0,73.6,156.0,0.0,7.27,1127.74347,95.4,0.0,38.2,0.0,96.0,4.13,95.0,0.10000000000000009,9875.161736,1007303.7999999989,3.7,3.6000000000000005,0.0,0.0,Obesity,Americas
Argentina,Developing,2015.0,76.3,116.0,8.0,9.984,0.0,94.0,0.0,62.8,9.0,93.0,6.962,94.0,0.10000000000000009,13467.1236,43417765.0,1.0,0.8999999999999999,0.826,17.3,Severe obesity,Americas
Argentina,Developing,2014.0,76.2,118.0,8.0,7.93,847.3717463,94.0,1.0,62.2,9.0,92.0,4.79,94.0,0.10000000000000009,12245.25645,42981515.0,1.0,0.8999999999999999,0.825,17.3,Severe obesity,Americas
Argentina,Developing,2013.0,76.0,119.0,8.0,8.28,1001.796332,94.0,0.0,61.599999999999994,10.0,99.0,4.99,94.0,0.10000000000000009,12976.63642,42539925.0,1.0,0.8999999999999999,0.823,17.3,Severe obesity,Americas
Argentina,Developing,2012.0,75.9,12.0,9.0,8.35,1133.558003,91.0,2.0,61.0,10.0,99.0,5.2,91.0,0.10000000000000009,12969.7712,4296739.0,1.0,0.8999999999999999,0.822,17.2,Severe obesity,Americas
Argentina,Developing,2011.0,75.7,12.0,9.0,8.11,1504.329462,91.0,3.0,6.399999999999995,10.0,93.0,5.89,91.0,0.10000000000000009,12726.9836,41656879.0,1.0,0.8999999999999999,0.816,17.1,Underweight,Americas
Argentina,Developing,2010.0,75.5,121.0,10.0,8.15,187.610955,94.0,17.0,59.8,11.0,95.0,6.55,94.0,0.10000000000000009,1276.2650000000003,41223889.0,1.0,0.8999999999999999,0.802,16.8,Severe obesity,Americas
Argentina,Developing,2009.0,75.6,126.0,10.0,8.33,1398.042623,94.0,3.0,59.2,11.0,97.0,7.63,94.0,0.10000000000000009,8161.36966,479947.0,1.0,0.8999999999999999,0.794,16.5,Severe obesity,Americas
Argentina,Developing,2008.0,75.4,126.0,10.0,8.41,1413.73543,9.0,0.0,58.6,11.0,94.0,6.66,93.0,0.10000000000000009,8953.359275,4382388.999999999,1.0,0.8999999999999999,0.792,16.3,Severe obesity,Americas
Argentina,Developing,2007.0,74.8,129.0,10.0,8.16,1105.659031,85.0,0.0,58.0,12.0,92.0,6.49,91.0,0.10000000000000009,7193.61764,3997224.0,1.1,0.8999999999999999,0.788,16.3,Severe obesity,Americas
Argentina,Developing,2006.0,75.2,127.0,11.0,7.75,961.1774676,84.0,0.0,57.5,12.0,92.0,6.68,91.0,0.10000000000000009,5878.76127,3955889.0,1.1,0.8999999999999999,0.782,16.1,Severe obesity,Americas
Argentina,Developing,2005.0,74.9,127.0,11.0,7.53,96.16653428999996,88.0,0.0,56.9,12.0,95.0,6.85,98.0,0.10000000000000009,576.8838290000003,39145488.0,1.1,1.0,0.78,16.3,Severe obesity,Americas
Argentina,Developing,2004.0,74.7,13.0,11.0,7.63,719.3663797,81.0,0.0,56.3,12.0,91.0,6.84,98.0,0.10000000000000009,4251.574348,38728696.0,1.1,1.0,0.775,16.3,Severe obesity,Americas
Argentina,Developing,2003.0,74.1,137.0,11.0,7.62,57.584673520000024,73.0,0.0,55.7,13.0,95.0,8.22,96.0,0.10000000000000009,333.4376000000011,3839379.0,1.2000000000000002,1.0,0.77,16.4,Severe obesity,Americas
Argentina,Developing,2002.0,74.1,138.0,12.0,7.81,470.1869145,66.0,0.0,55.1,13.0,94.0,8.31,93.0,0.10000000000000009,2579.193168,3788937.0,1.2000000000000002,1.0,0.776,16.3,Severe obesity,Americas
Argentina,Developing,2001.0,74.0,138.0,12.0,7.76,123.0128671,82.6,0.0,54.6,13.0,85.0,9.38,83.0,0.10000000000000009,717.6946740000003,3747159.0,1.2000000000000002,1.1,0.771,15.6,Severe obesity,Americas
Argentina,Developing,2000.0,74.1,137.0,12.0,7.68,1349.025282,82.6,6.0,54.0,13.999999999999996,88.0,9.21,83.0,0.10000000000000009,7669.273916,3757452.0,1.2000000000000002,1.1,0.764,15.0,Severe obesity,Americas
Armenia,Developing,2015.0,74.8,118.0,1.0,5.326,0.0,94.0,33.0,54.9,0.9999999999999929,96.0,4.922,94.0,0.10000000000000009,369.6547760000003,291695.0,2.1,2.2,0.741,12.7,Severe obesity,Asia
Armenia,Developing,2014.0,74.6,12.0,1.0,3.91,295.6087143,93.0,13.0,54.1,0.9999999999999929,95.0,4.48,93.0,0.10000000000000009,3994.712355,29622.0,2.1,2.1,0.739,12.7,Severe obesity,Asia
Armenia,Developing,2013.0,74.4,123.0,1.0,3.79,279.4290812,95.0,10.0,53.3,0.9999999999999929,96.0,4.55,95.0,0.10000000000000009,3843.591213,289359.0,2.1,2.1,0.736,12.7,Severe obesity,Asia
Armenia,Developing,2012.0,74.4,121.0,1.0,3.89,274.1526986,95.0,0.0,52.6,0.9999999999999929,96.0,4.48,95.0,0.10000000000000009,3684.8481,2881922.0,2.0,2.1,0.732,12.7,Severe obesity,Asia
Armenia,Developing,2011.0,73.9,128.0,1.0,4.09,260.9963826,95.0,0.0,51.9,0.9999999999999929,96.0,3.71,95.0,0.10000000000000009,3526.9781430000003,2875581.0,2.0,2.1,0.729,12.7,Severe obesity,Asia
Armenia,Developing,2010.0,73.5,132.0,1.0,4.23,224.32120139999995,94.0,2.0,51.2,0.9999999999999929,96.0,4.56,94.0,0.10000000000000009,3218.381655,2877311.0,2.0,2.1,0.72,12.3,Severe obesity,Asia
Armenia,Developing,2009.0,73.3,137.0,1.0,3.96,201.1855461,93.0,0.0,5.700000000000003,0.9999999999999929,94.0,4.55,93.0,0.10000000000000009,2993.832531,2888584.0,2.0,2.1,0.725,11.9,Underweight,Asia
Armenia,Developing,2008.0,73.2,14.0,1.0,3.96,2.888897899999961,89.0,0.0,5.100000000000001,0.9999999999999929,91.0,3.8,89.0,0.10000000000000009,41.269970000000285,29822.0,2.0,2.1,0.721,12.3,Underweight,Asia
Armenia,Developing,2007.0,73.5,132.0,1.0,3.99,44.572199660000024,85.0,1.0,49.7,0.9999999999999929,9.0,4.31,88.0,0.10000000000000009,3138.8873000000003,293356.0,2.0,2.1,0.707,11.7,Severe obesity,Asia
Armenia,Developing,2006.0,72.9,141.0,1.0,4.01,244.5352767,78.0,137.0,49.2,0.9999999999999929,87.0,4.58,87.0,0.10000000000000009,2158.299,29585.0,2.0,2.1,0.692,11.2,Severe obesity,Asia
Armenia,Developing,2005.0,73.0,137.0,1.0,4.25,20.21822827999995,91.0,2281.0,48.8,0.9999999999999929,92.0,5.25,9.0,0.10000000000000009,1643.7583969999996,2981259.0,2.0,2.1,0.679,10.9,Severe obesity,Asia
Armenia,Developing,2004.0,73.0,132.0,1.0,3.81,97.74087743999996,91.0,1783.0,48.4,0.9999999999999929,93.0,5.5,91.0,0.10000000000000009,1191.9619199999997,3612.0,2.0,2.1,0.668,10.9,Severe obesity,Asia
Armenia,Developing,2003.0,72.7,134.0,1.0,3.03,7.3414931480000405,93.0,4.0,48.1,0.9999999999999929,96.0,5.56,94.0,0.10000000000000009,93.1661567000001,31786.0,2.0,2.1,0.657,10.8,Severe obesity,Asia
Armenia,Developing,2002.0,72.6,134.0,1.0,2.86,57.178104029999986,91.0,40.0,47.8,0.9999999999999929,96.0,5.4,94.0,0.10000000000000009,783.2616989999997,333897.0,2.1,2.1,0.645,10.8,Severe obesity,Asia
Armenia,Developing,2001.0,72.6,141.0,1.0,2.86,53.19373011999994,69.0,69.0,47.4,0.9999999999999929,97.0,5.94,94.0,0.10000000000000009,694.4351189999998,35655.0,2.1,2.1,0.644,11.1,Severe obesity,Asia
Armenia,Developing,2000.0,72.0,142.0,1.0,2.9,32.75626853000006,55.0,15.0,47.1,0.9999999999999929,96.0,6.25,93.0,0.10000000000000009,622.7427477000001,369588.0,2.1,2.2,0.639,11.2,Severe obesity,Asia
Australia,Developed,2015.0,82.8,59.0,1.0,9.797999999999998,0.0,93.0,74.0,66.6,0.9999999999999929,93.0,11.982,93.0,0.10000000000000009,56554.3876,23789338.0,0.5999999999999996,0.5999999999999996,0.937,20.4,Severe obesity,Oceania
Australia,Developed,2014.0,82.7,6.0,1.0,9.71,10769.36305,91.0,340.0,66.1,0.9999999999999929,92.0,9.42,92.0,0.10000000000000009,62214.6912,2346694.0,0.5999999999999996,0.5999999999999996,0.936,20.4,Severe obesity,Oceania
